Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
军人(1948),军人,notion,0,2,2,0,3,3,0.017736,4,0.278993,0.301988,1631.559673
军备(1948),军备,notion,0,4,4,0,5,5,0.042846,4,0.317071,0.355905,8325.495825
军警(1948),军警,notion,0,1,1,0,3,3,0.01022,4,0.267243,0.282233,0
农事(1948),农事,notion,0,1,1,0,4,4,0.004718,4,0.258401,0.266227,0
农场(1948),农场,notion,0,2,2,0,15,15,0.014472,4,0.274708,0.295,2180.550764
减低(1948),减低,notion,0,1,1,0,3,3,0.016752,4,0.279138,0.302165,0
几个(1948),几个,notion,0,7,7,0,14,14,0.088558,4,0.406482,0.442788,45482.524068
几位(1948),几位,notion,0,3,3,0,5,5,0.038508,4,0.316031,0.354552,7136.780743
刑庭(1948),刑庭,notion,0,2,2,0,3,3,0.026972,4,0.293947,0.324781,1749.441854
列宁(1948),列宁,notion,0,2,2,0,7,7,0.026272,4,0.29319,0.323683,1793.896368
初期(1948),初期,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
到处(1948),到处,notion,0,4,4,0,5,5,0.057264,4,0.347744,0.390678,14323.117856
