Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
张大军,张大军,,author,0,2,4,0,2,5,0.002342,5,0.380884,0.397581,0.352406
张大庸,张大庸,,author,0,2,12,0,2,12,0.008069,5,0.417867,0.436376,8.601077
张子龄,张子龄,,author,0,6,169,0,6,256,0.100279,4,0.491595,0.509626,3755.155685
张孟闻,张孟闻,,author,0,22,674,0,24,1769,0.499505,4,0.540375,0.585442,5626.567795
张孤,张孤,,author,0,3,9,0,3,10,0.005877,5,0.402296,0.420804,2.767321
张寰,张寰,,author,0,3,57,0,3,99,0.037436,5,0.445324,0.464647,3.023913
张山川,张山川,,author,0,4,22,0,4,27,0.014514,4,0.43566,0.453173,13.229404
张平,张平,,author,0,1,1,0,1,1,0.001395,5,0.372892,0.388041,0
张弢,张弢,,author,0,2,181,0,2,340,0.116806,4,0.490686,0.510052,210.475152
张弦,张弦,,author,0,7,76,0,7,94,0.037032,4,0.474936,0.489409,330.611485
张振鵾,张振鵾,,author,0,2,91,0,2,195,0.047936,4,0.469295,0.486582,7.376118
张授,张授,,author,0,3,33,0,3,39,0.027235,5,0.447093,0.463907,112.52477
