Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
太平 (n),太平,,notion,1,0,1,1,0.00007,6,0.293227,0.301526,0
第一个 (n),第一个,,notion,1,0,41,46,0.024406,5,0.39117,0.414224,0
新型 (n),新型,,notion,2,0,7,7,0.004879,5,0.356552,0.372477,261.995877
美报 (n),美报,,notion,1,0,611,6696,0.925943,4,0.497324,0.547565,0
一张 (n),一张,,notion,2,0,161,205,0.058367,4,0.445842,0.473278,5041.555488
废止 (n),废止,,notion,1,0,9,10,0.00699,5,0.388987,0.409019,0
政论 (n),政论,,notion,1,0,1,1,0.000018,1,1,1,0
现代 (n),现代,,notion,6,0,58,75,0.019364,4,0.414429,0.437709,2433.957894
秀才 (n),秀才,,notion,1,0,2,2,0.001558,5,0.340249,0.354523,0
民变 (n),民变,,notion,2,0,5,5,0.007997,5,0.3869,0.4066,0
花絮 (n),花絮,,notion,1,0,8,10,0.001998,5,0.367422,0.385549,0
留学 (n),留学,,notion,2,0,15,17,0.008446,5,0.392197,0.412653,150.130773
上课 (n),上课,,notion,1,0,2,2,0.000258,5,0.323084,0.33207,0
何日 (n),何日,,notion,1,0,3,3,0.000105,5,0.295402,0.303563,0
鞭策 (n),鞭策,,notion,1,0,9,14,0.00038,5,0.318095,0.32779,0
自食其果 (n),自食其果,,notion,1,0,0,0,0,0,0,0,0
麦克阿瑟 (n),麦克阿瑟,,notion,1,0,11,11,0.006763,5,0.382442,0.402471,0
示威 (n),示威,,notion,2,0,17,17,0.01442,5,0.378393,0.397963,157.86639
罪言 (n),罪言,,notion,1,0,45,55,0.023038,5,0.400575,0.423828,0
弱点 (n),弱点,,notion,1,0,51,62,0.019957,5,0.415664,0.438502,0
知识 (n),知识,,notion,2,0,90,125,0.021365,5,0.431846,0.456054,2723.806853
试验 (n),试验,,notion,1,0,123,158,0.054084,5,0.438043,0.46426,0
何香凝 (n),何香凝,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
提要 (n),提要,,notion,1,0,123,468,0.054084,5,0.438043,0.46426,0
傻子 (n),傻子,,notion,1,0,22,68,0.00362,5,0.372694,0.393149,0
自白 (n),自白,,notion,4,0,10,10,0.00953,5,0.359618,0.377387,4234.788728
刺刀 (n),刺刀,,notion,1,0,3,3,0.000057,6,0.261342,0.267599,0
调处 (n),调处,,notion,3,0,27,38,0.020007,5,0.387689,0.40935,69.677508
争取和平 (n),争取和平,,notion,3,0,56,83,0.033986,5,0.435308,0.456353,443.729135
估计 (n),估计,,notion,2,0,20,38,0.010365,5,0.386864,0.407684,271.059478
新花样 (n),新花样,,notion,1,0,8,8,0.004034,5,0.378599,0.397908,0
诊断 (n),诊断,,notion,2,0,54,74,0.034105,5,0.437082,0.457628,307.733034
园地 (n),园地,,notion,1,0,4,4,0.000279,6,0.320706,0.330954,0
